FECHA,EMISOR,VALOR,VALOR NOMINAL,PRECIO,ACCIONES,VALOR EFECTIVO,PROCEDENCIA
2019-01-02,BANCO GUAYAQUIL S.A.,ACCIONES,2000.0,0.96,2000.0,1920.0,BVG
2019-01-02,CORPORACION FAVORITA C.A.,ACCIONES,684.0,2.44,684.0,1668.96,BVG
2019-01-03,BANCO GUAYAQUIL S.A.,ACCIONES,11069.0,0.96,11069.0,10626.24,BVG
2019-01-03,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,141495.0,0.67,141495.0,94801.65,BVG
2019-01-03,CORPORACION FAVORITA C.A.,ACCIONES,398.0,2.45,398.0,975.1,BVG
2019-01-04,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,22321.0,0.67,22321.0,14955.07,BVG
2019-01-04,CORPORACION FAVORITA C.A.,ACCIONES,1236.0,2.44,1236.0,3015.84,BVG
2019-01-04,CERVECERIA NACIONAL CN S A,ACCIONES,100.0,95.0,100.0,9500.0,BVG
2019-01-07,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,284.0,0.68,284.0,193.12,BVG
2019-01-07,CORPORACION FAVORITA C.A.,ACCIONES,2047.0,2.44,2047.0,4994.68,BVG
2019-01-08,HOLCIM ECUADOR S.A.,ACCIONES,321.0,69.0,107.0,7383.0,BVG
2019-01-09,CERVECERIA NACIONAL CN S A,ACCIONES,659.0,93.99,659.0,61939.41,BVG
2019-01-09,CORPORACION FAVORITA C.A.,ACCIONES,200.0,2.45,200.0,490.0,BVG
2019-01-10,BRIKAPITAL SA,ACCIONES,10000.0,1000.0,10.0,10000.0,BVG
2019-01-10,CORPORACION FAVORITA C.A.,ACCIONES,5370.0,2.49,5370.0,13371.3,BVG
2019-01-11,BANCO PICHINCHA C.A.,ACCIONES,8000.0,100.0,80.0,8000.0,BVG
2019-01-14,HOLCIM ECUADOR S.A.,ACCIONES,282.0,70.0,94.0,6580.0,BVG
2019-01-14,BANCO GUAYAQUIL S.A.,ACCIONES,1731.0,0.96,1731.0,1661.76,BVG
2019-01-14,CORPORACION FAVORITA C.A.,ACCIONES,3968.0,2.52,3968.0,9999.36,BVG
2019-01-14,BRIKAPITAL SA,ACCIONES,10000.0,1000.0,10.0,10000.0,BVG
2019-01-15,BRIKAPITAL SA,ACCIONES,4000.0,1000.0,4.0,4000.0,BVG
2019-01-15,CORPORACION FAVORITA C.A.,ACCIONES,303.0,2.53,303.0,766.59,BVG
2019-01-15,BANCO GUAYAQUIL S.A.,ACCIONES,327.0,0.96,327.0,313.92,BVG
2019-01-15,INVERSANCARLOS,ACCIONES,24805.0,1.0,24805.0,24805.0,BVG
2019-01-16,CORPORACION FAVORITA C.A.,ACCIONES,92.0,2.52,92.0,231.84,BVG
2019-01-16,BANCO GUAYAQUIL S.A.,ACCIONES,11000.0,0.96,11000.0,10560.0,BVG
2019-01-17,SAN CARLOS SOC. AGR. IND.,ACCIONES,5500.0,0.75,5500.0,4125.0,BVG
2019-01-17,BRIKAPITAL SA,ACCIONES,1000.0,1000.0,1.0,1000.0,BVG
2019-01-17,CORPORACION FAVORITA C.A.,ACCIONES,2467.0,2.6,2467.0,6414.2,BVG
2019-01-18,BRIKAPITAL SA,ACCIONES,293000.0,1000.0,293.0,293000.0,BVG
2019-01-18,CORPORACION FAVORITA C.A.,ACCIONES,1240.0,2.58,1240.0,3199.2,BVG
2019-01-18,BANCO BOLIVARIANO C.A.,ACCIONES,4000.0,0.9,4000.0,3600.0,BVG
2019-01-18,BANCO GUAYAQUIL S.A.,ACCIONES,15623.0,0.96,15623.0,14998.08,BVG
2019-01-21,CORPORACION FAVORITA C.A.,ACCIONES,15000.0,2.65,15000.0,39750.0,BVG
2019-01-22,BRIKAPITAL SA,ACCIONES,4000.0,1000.0,4.0,4000.0,BVG
2019-01-22,CORPORACION FAVORITA C.A.,ACCIONES,500.0,2.68,500.0,1340.0,BVG
2019-01-23,CORPORACION FAVORITA C.A.,ACCIONES,500.0,2.7,500.0,1350.0,BVG
2019-01-23,BANCO GUAYAQUIL S.A.,ACCIONES,2021.0,0.97,2021.0,1960.37,BVG
2019-01-24,BANCO PICHINCHA C.A.,ACCIONES,500.0,100.0,5.0,500.0,BVG
2019-01-24,CORPORACION FAVORITA C.A.,ACCIONES,21870.0,2.72,21870.0,59486.4,BVG
2019-01-24,BRIKAPITAL SA,ACCIONES,50000.0,1000.0,50.0,50000.0,BVG
2019-01-24,BANCO GUAYAQUIL S.A.,ACCIONES,6700.0,0.97,6700.0,6499.0,BVG
2019-01-25,CORPORACION FAVORITA C.A.,ACCIONES,100.0,2.7,100.0,270.0,BVG
2019-01-25,BANCO PICHINCHA C.A.,ACCIONES,4000.0,99.0,40.0,3960.0,BVG
2019-01-25,BANCO GUAYAQUIL S.A.,ACCIONES,674.0,0.97,674.0,653.78,BVG
2019-01-28,SAN CARLOS SOC. AGR. IND.,ACCIONES,142464.0,0.7,142464.0,99724.8,BVG
2019-01-28,CORPORACION FAVORITA C.A.,ACCIONES,178.0,2.7,178.0,480.6,BVG
2019-01-28,BRIKAPITAL SA,ACCIONES,2000.0,1000.0,2.0,2000.0,BVG
2019-01-28,HOLCIM ECUADOR S.A.,ACCIONES,30.0,70.0,10.0,700.0,BVG
2019-01-29,BANCO PICHINCHA C.A.,ACCIONES,2000.0,100.0,20.0,2000.0,BVG
2019-01-29,BRIKAPITAL SA,ACCIONES,50000.0,1000.0,50.0,50000.0,BVG
2019-01-29,BOLSA DE VALORES DE GUAYAQUIL,ACCIONES,3000.0,1.2,3000.0,3600.0,BVG
2019-01-29,CORPORACION FAVORITA C.A.,ACCIONES,100.0,2.71,100.0,271.0,BVG
2019-01-30,SAN CARLOS SOC. AGR. IND.,ACCIONES,32000.0,0.7,32000.0,22400.0,BVG
2019-01-30,BRIKAPITAL SA,ACCIONES,10000.0,1000.0,10.0,10000.0,BVG
2019-01-30,BANCO GUAYAQUIL S.A.,ACCIONES,2024.0,0.96,2024.0,1943.04,BVG
2019-01-31,BANCO GUAYAQUIL S.A.,ACCIONES,961.0,0.96,961.0,922.56,BVG
2019-01-31,BRIKAPITAL SA,ACCIONES,20000.0,1000.0,20.0,20000.0,BVG
2019-01-31,HOLCIM ECUADOR S.A.,ACCIONES,15.0,67.0,5.0,335.0,BVG
2019-01-31,CORPORACION FAVORITA C.A.,ACCIONES,108.0,2.65,108.0,286.2,BVG
2019-01-31,BOLSA DE VALORES DE GUAYAQUIL,ACCIONES,3000.0,1.3,3000.0,3900.0,BVG
2019-01-31,BANCO PICHINCHA C.A.,ACCIONES,10000.0,100.0,100.0,10000.0,BVG
2019-02-01,CORPORACION FAVORITA C.A.,ACCIONES,115.0,2.76,115.0,317.4,BVG
2019-02-04,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,756.0,0.7,756.0,529.2,BVG
2019-02-04,CORPORACION FAVORITA C.A.,ACCIONES,17739.0,2.74,17739.0,48604.86,BVG
2019-02-04,BANCO GUAYAQUIL S.A.,ACCIONES,1053.0,0.96,1053.0,1010.88,BVG
2019-02-05,BANCO PICHINCHA C.A.,ACCIONES,80000.0,99.0,800.0,79200.0,BVG
2019-02-05,CERVECERIA NACIONAL CN S A,ACCIONES,50.0,90.0,50.0,4500.0,BVG
2019-02-05,CORPORACION FAVORITA C.A.,ACCIONES,3650.0,2.74,3650.0,10001.0,BVG
2019-02-06,CORPORACION FAVORITA C.A.,ACCIONES,1385.0,2.75,1385.0,3808.75,BVG
2019-02-07,BRIKAPITAL SA,ACCIONES,20000.0,1000.0,20.0,20000.0,BVG
2019-02-07,CERVECERIA NACIONAL CN S A,ACCIONES,56.0,92.0,56.0,5152.0,BVG
2019-02-07,BANCO PICHINCHA C.A.,ACCIONES,1000.0,99.0,10.0,990.0,BVG
2019-02-07,CORPORACION FAVORITA C.A.,ACCIONES,2200.0,2.75,2200.0,6050.0,BVG
2019-02-07,BANCO GUAYAQUIL S.A.,ACCIONES,15029.0,1.0,15029.0,15029.0,BVG
2019-02-08,BRIKAPITAL SA,ACCIONES,1000.0,1000.0,1.0,1000.0,BVG
2019-02-08,CORPORACION FAVORITA C.A.,ACCIONES,1000.0,2.78,1000.0,2780.0,BVG
2019-02-11,BRIKAPITAL SA,ACCIONES,10000.0,1000.0,10.0,10000.0,BVG
2019-02-11,CORPORACION FAVORITA C.A.,ACCIONES,10800.0,2.8,10800.0,30240.0,BVG
2019-02-11,BANCO GUAYAQUIL S.A.,ACCIONES,215.0,0.96,215.0,206.4,BVG
2019-02-12,CORPORACION FAVORITA C.A.,ACCIONES,89.0,2.81,89.0,250.09,BVG
2019-02-12,BANCO GUAYAQUIL S.A.,ACCIONES,6000.0,1.0,6000.0,6000.0,BVG
2019-02-13,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,3455.0,0.7,3455.0,2418.5,BVG
2019-02-13,BANCO GUAYAQUIL S.A.,ACCIONES,35000.0,0.97,35000.0,33950.0,BVG
2019-02-13,CORPORACION FAVORITA C.A.,ACCIONES,2109.0,2.78,2109.0,5863.02,BVG
2019-02-14,BANCO PICHINCHA C.A.,ACCIONES,900.0,100.0,9.0,900.0,BVG
2019-02-15,CORPORACION FAVORITA C.A.,ACCIONES,308.0,2.8,308.0,862.4,BVG
2019-02-18,BRIKAPITAL SA,ACCIONES,5000.0,1000.0,5.0,5000.0,BVG
2019-02-18,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,2540.0,0.67,2540.0,1701.8,BVG
2019-02-18,CORPORACION FAVORITA C.A.,ACCIONES,1208.0,2.8,1208.0,3382.4,BVG
2019-02-19,BRIKAPITAL SA,ACCIONES,2000.0,1000.0,2.0,2000.0,BVG
2019-02-19,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1395.0,0.72,1395.0,1004.4,BVG
2019-02-19,CORPORACION FAVORITA C.A.,ACCIONES,12000.0,2.8,12000.0,33600.0,BVG
2019-02-19,BANCO GUAYAQUIL S.A.,ACCIONES,500.0,1.0,500.0,500.0,BVG
2019-02-20,CORPORACION FAVORITA C.A.,ACCIONES,65.0,2.78,65.0,180.7,BVG
2019-02-20,BANCO GUAYAQUIL S.A.,ACCIONES,1500.0,1.0,1500.0,1500.0,BVG
2019-02-20,BRIKAPITAL SA,ACCIONES,5000.0,1000.0,5.0,5000.0,BVG
2019-02-21,CORPORACION FAVORITA C.A.,ACCIONES,4900.0,2.79,4900.0,13671.0,BVG
2019-02-21,BANCO GUAYAQUIL S.A.,ACCIONES,21125.0,1.0,21125.0,21125.0,BVG
2019-02-22,CRIDESA,ACCIONES,100.0,4.0,100.0,400.0,BVG
2019-02-22,BRIKAPITAL SA,ACCIONES,20000.0,1000.0,20.0,20000.0,BVG
2019-02-22,CORPORACION FAVORITA C.A.,ACCIONES,1400.0,2.78,1400.0,3892.0,BVG
2019-02-25,CORPORACION FAVORITA C.A.,ACCIONES,58.0,2.76,58.0,160.08,BVG
