"AÑO","EMISOR","RENDIMIENTO"
"2022","HOLCIM ECUADOR S.A.","2.92%"
"2022","SAN CARLOS SOC. AGR. IND.","5.81%"
"2022","CERVECERIA NACIONAL CN S A","5.17%"
"2022","BEVERAGE BRAND PATENTS SA","8.85%"
"2023","HOLCIM ECUADOR S.A.","2.74%"
"2023","SAN CARLOS SOC. AGR. IND.","5.25%"
"2023","CERVECERIA NACIONAL CN S A","8.15%"
"2023","BEVERAGE BRAND PATENTS SA","16.44%"
"2024","HOLCIM ECUADOR S.A.","2.65%"
"2024","SAN CARLOS SOC. AGR. IND.","4.84%"
"2024","CERVECERIA NACIONAL CN S A","7.48%"
"2024","BEVERAGE BRAND PATENTS SA","9.81%"
